id,domain,function_name,task,role,params,algorithm,settings,supabase_tables,rls_policy,edge_function
394,channel_release,tg_channel_func_00394,"Implement channel_release workflow #394",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_2,edge_release_00394
395,channel_feature_flags,tg_channel_func_00395,"Implement channel_feature_flags workflow #395",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_3,edge_feature_flags_00395
396,channel_canary,tg_channel_func_00396,"Implement channel_canary workflow #396",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_4,edge_canary_00396
397,channel_kill_switch,tg_channel_func_00397,"Implement channel_kill_switch workflow #397",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_5,edge_kill_switch_00397
398,channel_support,tg_channel_func_00398,"Implement channel_support workflow #398",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_6,edge_support_00398
399,channel_admin_console,tg_channel_func_00399,"Implement channel_admin_console workflow #399",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_7,edge_admin_console_00399
400,channel_creator_tools,tg_channel_func_00400,"Implement channel_creator_tools workflow #400",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_1,edge_creator_tools_00400
401,channel_branding,tg_channel_func_00401,"Implement channel_branding workflow #401",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_2,edge_branding_00401
402,channel_templates,tg_channel_func_00402,"Implement channel_templates workflow #402",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_3,edge_templates_00402
403,channel_form_builder,tg_channel_func_00403,"Implement channel_form_builder workflow #403",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_4,edge_form_builder_00403
404,channel_payments,tg_channel_func_00404,"Implement channel_payments workflow #404",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_5,edge_payments_00404
405,channel_referrals,tg_channel_func_00405,"Implement channel_referrals workflow #405",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_6,edge_referrals_00405
406,channel_campaigns,tg_channel_func_00406,"Implement channel_campaigns workflow #406",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_7,edge_campaigns_00406
407,channel_ab_tests,tg_channel_func_00407,"Implement channel_ab_tests workflow #407",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_1,edge_ab_tests_00407
408,channel_segmentation,tg_channel_func_00408,"Implement channel_segmentation workflow #408",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_2,edge_segmentation_00408
409,channel_core,tg_channel_func_00409,"Implement channel_core workflow #409",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_3,edge_core_00409
410,channel_profile,tg_channel_func_00410,"Implement channel_profile workflow #410",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_4,edge_profile_00410
411,channel_privacy,tg_channel_func_00411,"Implement channel_privacy workflow #411",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_5,edge_privacy_00411
412,channel_permissions,tg_channel_func_00412,"Implement channel_permissions workflow #412",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_6,edge_permissions_00412
413,channel_membership,tg_channel_func_00413,"Implement channel_membership workflow #413",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_7,edge_membership_00413
414,channel_posts,tg_channel_func_00414,"Implement channel_posts workflow #414",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_1,edge_posts_00414
415,channel_media,tg_channel_func_00415,"Implement channel_media workflow #415",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_2,edge_media_00415
416,channel_reactions,tg_channel_func_00416,"Implement channel_reactions workflow #416",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_3,edge_reactions_00416
417,channel_comments,tg_channel_func_00417,"Implement channel_comments workflow #417",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_4,edge_comments_00417
418,channel_threads,tg_channel_func_00418,"Implement channel_threads workflow #418",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_5,edge_threads_00418
419,channel_pinned,tg_channel_func_00419,"Implement channel_pinned workflow #419",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_6,edge_pinned_00419
420,channel_scheduling,tg_channel_func_00420,"Implement channel_scheduling workflow #420",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_7,edge_scheduling_00420
421,channel_drafts,tg_channel_func_00421,"Implement channel_drafts workflow #421",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_1,edge_drafts_00421
422,channel_moderation,tg_channel_func_00422,"Implement channel_moderation workflow #422",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_2,edge_moderation_00422
423,channel_reports,tg_channel_func_00423,"Implement channel_reports workflow #423",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_3,edge_reports_00423
424,channel_antispam,tg_channel_func_00424,"Implement channel_antispam workflow #424",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_4,edge_antispam_00424
425,channel_search,tg_channel_func_00425,"Implement channel_search workflow #425",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_5,edge_search_00425
426,channel_discovery,tg_channel_func_00426,"Implement channel_discovery workflow #426",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_6,edge_discovery_00426
427,channel_invites,tg_channel_func_00427,"Implement channel_invites workflow #427",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_7,edge_invites_00427
428,channel_links,tg_channel_func_00428,"Implement channel_links workflow #428",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_1,edge_links_00428
429,channel_qr,tg_channel_func_00429,"Implement channel_qr workflow #429",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_2,edge_qr_00429
430,channel_notifications,tg_channel_func_00430,"Implement channel_notifications workflow #430",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_3,edge_notifications_00430
431,channel_read_state,tg_channel_func_00431,"Implement channel_read_state workflow #431",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_4,edge_read_state_00431
432,channel_analytics,tg_channel_func_00432,"Implement channel_analytics workflow #432",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_5,edge_analytics_00432
433,channel_growth,tg_channel_func_00433,"Implement channel_growth workflow #433",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_6,edge_growth_00433
434,channel_advertising,tg_channel_func_00434,"Implement channel_advertising workflow #434",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_7,edge_advertising_00434
435,channel_monetization,tg_channel_func_00435,"Implement channel_monetization workflow #435",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_1,edge_monetization_00435
436,channel_premium,tg_channel_func_00436,"Implement channel_premium workflow #436",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_2,edge_premium_00436
437,channel_business,tg_channel_func_00437,"Implement channel_business workflow #437",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_3,edge_business_00437
438,channel_bot_api,tg_channel_func_00438,"Implement channel_bot_api workflow #438",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_4,edge_bot_api_00438
439,channel_webhooks,tg_channel_func_00439,"Implement channel_webhooks workflow #439",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_5,edge_webhooks_00439
440,channel_automation,tg_channel_func_00440,"Implement channel_automation workflow #440",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_6,edge_automation_00440
441,channel_ai_tools,tg_channel_func_00441,"Implement channel_ai_tools workflow #441",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_7,edge_ai_tools_00441
442,channel_translation,tg_channel_func_00442,"Implement channel_translation workflow #442",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_1,edge_translation_00442
443,channel_transcription,tg_channel_func_00443,"Implement channel_transcription workflow #443",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_2,edge_transcription_00443
444,channel_voice,tg_channel_func_00444,"Implement channel_voice workflow #444",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_3,edge_voice_00444
445,channel_live_streams,tg_channel_func_00445,"Implement channel_live_streams workflow #445",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_4,edge_live_streams_00445
446,channel_polls,tg_channel_func_00446,"Implement channel_polls workflow #446",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_5,edge_polls_00446
447,channel_quizzes,tg_channel_func_00447,"Implement channel_quizzes workflow #447",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_6,edge_quizzes_00447
448,channel_stories,tg_channel_func_00448,"Implement channel_stories workflow #448",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_7,edge_stories_00448
449,channel_topics,tg_channel_func_00449,"Implement channel_topics workflow #449",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_1,edge_topics_00449
450,channel_collections,tg_channel_func_00450,"Implement channel_collections workflow #450",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_2,edge_collections_00450
451,channel_playlists,tg_channel_func_00451,"Implement channel_playlists workflow #451",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_3,edge_playlists_00451
452,channel_catalog,tg_channel_func_00452,"Implement channel_catalog workflow #452",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_4,edge_catalog_00452
453,channel_integrations,tg_channel_func_00453,"Implement channel_integrations workflow #453",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_5,edge_integrations_00453
454,channel_crosspost,tg_channel_func_00454,"Implement channel_crosspost workflow #454",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_6,edge_crosspost_00454
455,channel_forwarding,tg_channel_func_00455,"Implement channel_forwarding workflow #455",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_7,edge_forwarding_00455
456,channel_signatures,tg_channel_func_00456,"Implement channel_signatures workflow #456",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_1,edge_signatures_00456
457,channel_content_protection,tg_channel_func_00457,"Implement channel_content_protection workflow #457",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_2,edge_content_protection_00457
458,channel_watermark,tg_channel_func_00458,"Implement channel_watermark workflow #458",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_3,edge_watermark_00458
459,channel_geo,tg_channel_func_00459,"Implement channel_geo workflow #459",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_4,edge_geo_00459
460,channel_localization,tg_channel_func_00460,"Implement channel_localization workflow #460",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_5,edge_localization_00460
461,channel_accessibility,tg_channel_func_00461,"Implement channel_accessibility workflow #461",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_6,edge_accessibility_00461
462,channel_theming,tg_channel_func_00462,"Implement channel_theming workflow #462",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_7,edge_theming_00462
463,channel_uiux,tg_channel_func_00463,"Implement channel_uiux workflow #463",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_1,edge_uiux_00463
464,channel_mobile,tg_channel_func_00464,"Implement channel_mobile workflow #464",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_2,edge_mobile_00464
465,channel_web,tg_channel_func_00465,"Implement channel_web workflow #465",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_3,edge_web_00465
466,channel_desktop,tg_channel_func_00466,"Implement channel_desktop workflow #466",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_4,edge_desktop_00466
467,channel_offline_sync,tg_channel_func_00467,"Implement channel_offline_sync workflow #467",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_5,edge_offline_sync_00467
468,channel_conflict_resolution,tg_channel_func_00468,"Implement channel_conflict_resolution workflow #468",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_6,edge_conflict_resolution_00468
469,channel_rate_limits,tg_channel_func_00469,"Implement channel_rate_limits workflow #469",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_7,edge_rate_limits_00469
470,channel_abuse_prevention,tg_channel_func_00470,"Implement channel_abuse_prevention workflow #470",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_1,edge_abuse_prevention_00470
471,channel_security,tg_channel_func_00471,"Implement channel_security workflow #471",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_2,edge_security_00471
472,channel_audit,tg_channel_func_00472,"Implement channel_audit workflow #472",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_3,edge_audit_00472
473,channel_compliance,tg_channel_func_00473,"Implement channel_compliance workflow #473",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_4,edge_compliance_00473
474,channel_retention,tg_channel_func_00474,"Implement channel_retention workflow #474",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_5,edge_retention_00474
475,channel_archiving,tg_channel_func_00475,"Implement channel_archiving workflow #475",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_6,edge_archiving_00475
476,channel_backup,tg_channel_func_00476,"Implement channel_backup workflow #476",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_7,edge_backup_00476
477,channel_restore,tg_channel_func_00477,"Implement channel_restore workflow #477",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_1,edge_restore_00477
478,channel_migrations,tg_channel_func_00478,"Implement channel_migrations workflow #478",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_2,edge_migrations_00478
479,channel_schema,tg_channel_func_00479,"Implement channel_schema workflow #479",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_3,edge_schema_00479
480,channel_rls,tg_channel_func_00480,"Implement channel_rls workflow #480",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_4,edge_rls_00480
481,channel_indexes,tg_channel_func_00481,"Implement channel_indexes workflow #481",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_5,edge_indexes_00481
482,channel_realtime,tg_channel_func_00482,"Implement channel_realtime workflow #482",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_6,edge_realtime_00482
483,channel_edge_functions,tg_channel_func_00483,"Implement channel_edge_functions workflow #483",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_7,edge_edge_functions_00483
